Soup,汤,Egg Drop Soup,Egg Drop Soup,蛋花汤,,,1,1.5,2.5,,,,,,,,1,
Soup,汤,Wonton Soup,Wonton Soup,云吞汤,,,2,1.65,2.95,,,,,,,,1,
Soup,汤,Wonton Egg Drop Mixed,Wonton Egg Drop Mixed,云吞蛋花汤,,,3,1.6,2.95,,,,,,,,1,
Soup,汤,Hot & Sour Soup ,Hot & Sour Soup,酸辣汤,,,4,2,3.5,,,,,1,,,1,
Soup,汤,Chicken Noodle Soup ,Chicken Noodle Soup,鸡面汤,,,5a,1.5,2.95,,,,,,,,1,
Soup,汤,Chicken Rice Soup ,Chicken Rice Soup,鸡饭汤,,,5b,1.5,2.95,,,,,,,,1,
Soup,汤,Bean Curd Veg Soup ,Bean Curd Vegetable Soup ,蔬菜汤,,,6,,3.45,,,,,,,,1,
Soup,汤,Corn w. Chicken Soup,Corn w. Chicken Soup,,,,7,,3.95,,,,,,,,1,
Soup,汤,House Special Wonton Soup ,House Special Wonton Soup,本楼汤,,,8,,4.95,,,,,,,,1,
Soup,汤,Roast Pork Yack Ga Mein,Roast Pork Yack Ga Mein,,,,8a,,4.95,,,,,,,,1,
Soup,汤,House Seafood Soup ,House Seafood Soup,海鲜汤,,,9,,5.95,,,,,,,,1,
Soup,汤,Miso Soup,Miso Soup,,,,9a,1.8,3.5,,,,,,,,1,
Appetizers,开胃菜,Egg Roll,Egg Roll,春卷,,,10,,1.29,,,,,,,,,1
Appetizers,开胃菜,Shrimp Roll,Shrimp Roll,上海卷,,,11,,1.5,,,,,,,,,1
Appetizers,开胃菜,Vegetable Roll,Vegetable Roll,,,,12,,1.5,,,,,,,,,1
Appetizers,开胃菜,Vegetable Dumpling,Vegetable Dumpling,水饺,8 pieces,,13,,4.25,,,,,,,1,,8
Appetizers,开胃菜,Steam Dumpling,Steam Dumpling,,8 pieces,,14,,4.55,,,,,,,1,,8
Appetizers,开胃菜,Fried Dumpling,Fried Dumpling,锅贴,8 pieces,,14,,4.55,,,,,,,1,,8
Appetizers,开胃菜,Spicy Dumpling Szechuan Style,Spicy Dumpling Szechuan Style,,,,15,,4.55,,,,,1,,,,8
Appetizers,开胃菜,Fantail Shrimp,Fantail Shrimp,,,,16,,3.95,,,,,,,1,,4
Appetizers,开胃菜,Teriyaki Beef,Teriyaki Beef,,6 pieces,,17,,4.95,,,,,,,,,6
Appetizers,开胃菜,Fried Wonton,Fried Wonton,,,,18,,3.95,,,,,,,1,,8
Appetizers,开胃菜,Shrimp Toast,Shrimp Toast,,,,19,,3.5,,,,,,,1,,8
Appetizers,开胃菜,Boneless Spare Ribs,Boneless Spare Ribs,,,,20,6.25,11.25,L31,5.25,15,7.25,,,,,
Appetizers,开胃菜,BBQ Spare Ribs,BBQ Spare Ribs,,small = 5 pieces - large = 10 pieces,,21,6.45,11.95,,,3,7.95,,,,,sm = 5 - lg = 10
Appetizers,开胃菜,Cold Noodle w. Hot Sesame Sauce,Cold Noodle w. Hot Sesame Sauce,,,,22,,3.75,,,,,1,,,,
Appetizers,开胃菜,Scallion Pancake,Scallion Pancake,,,,23,,3.5,,,,,,,,,
Appetizers,开胃菜,Pork Shu Mai,Pork Shu Mai,,8 pieces,,24,,4.75,,,,,,,1,,8
Appetizers,开胃菜,Shrimp Shu Mai,Shrimp Shu Mai,,8 pieces,,24,,4.75,,,,,,,1,,8
Appetizers,开胃菜,Pu Pu Platter,Pu Pu Platter,,aka Appetizer Combo (for 2),,25,,9.95,,,,,,,,,
Appetizers,开胃菜,Crab Rangoon,Crab Rangoon,,6 pieces,,26,,3.5,,,,,,,,,6
Appetizers,开胃菜,Chicken Wing,Chicken Wing,,10 pieces,,26a,,5.25,L9a,4.95,25,6.5,,,1,,10
Fried Rice,炒饭,Veg Fried Rice,Vegetable Fried Rice,素菜炒饭,,,27,3.25,5.95,,,,,,,,,
Fried Rice,炒饭,Chicken Fried Rice,Chicken Fried Rice,鸡炒饭,,,27a,3.65,6.35,,,,,,,,,
Fried Rice,炒饭,Pork Fried Rice,Pork Fried Rice,叉烧炒饭 ,,,27a,3.65,6.35,,,,,,,,,
Fried Rice,炒饭,Beef Fried Rice,Beef Fried Rice,牛炒饭 ,,,28,3.95,5.95,,,,,,,,,
Fried Rice,炒饭,Shrimp Fried Rice,Shrimp Fried Rice,虾炒饭,,,28,3.95,5.95,,,,,,,,,
Fried Rice,炒饭,Subgum Fried Rice,Subgum Fried Rice,什锦炒饭,chicken - pork - shrimp,,29,,7.95,,,,,,,,,
Fried Rice,炒饭,House Fried Rice,House Fried Rice,本楼炒饭 ,chicken - pork - shrimp,,29,,7.95,,,,,,,,,
Lo Mein ,捞面,Veg Lo Mein,Vegetable Lo Mein,,,,30,3.75,6.25,L1,4.95,2,6.5,,,,,
Lo Mein,捞面,Pork Lo Mein ,Pork Lo Mein,叉烧捞面,,,30a,3.95,6.55,L1,4.95,2,6.5,,,,,
Lo Mein,捞面,Chicken Lo Mein,Chicken Lo Mein,鸡捞面,,,30a,3.95,6.55,L1,4.95,2,6.5,,,,,
Lo Mein,捞面,Beef Lo Mein,Beef Lo Mein,牛捞面 ,,,31,3.95,7.5,L1,4.95,2,6.5,,,,,
Lo Mein,捞面,Shrimp Lo Mein,Shrimp Lo Mein,虾捞面 ,,,31,3.95,7.5,L1,4.95,2,6.5,,,,,
Lo Mein,捞面,House Special Lo Mein,House Special Lo Mein,本楼捞面,,,32,,8.25,,,,,,,,,
Lo Mein,捞面,Vegetable Chow Mai Fun,Vegetable Chow Mai Fun,菜米粉,thin white noodles,,33,,8.25,,,,,,,,,
Lo Mein,捞面,Pork Chow Mai Fun,Pork Chow Mai Fun,叉烧米粉,thin white noodles,,33,,8.25,,,,,,,,,
Lo Mein,捞面,Chicken Chow Mai Fun,Chicken Chow Mai Fun,鸡米粉,thin white noodles,,33,,8.25,,,,,,,,,
Lo Mein,捞面,Beef Chow Mai Fun,Beef Chow Mai Fun,牛米粉,thin white noodles,,33,,8.25,,,,,,,,,
Lo Mein,捞面,Shrimp Chow Mai Fun,Shrimp Chow Mai Fun,虾米粉,thin white noodles,,33,,8.25,,,,,,,,,
Lo Mein,捞面,House Chow Mai Fun,House Chow Mai Fun,本楼米粉,thin white noodles,,33,,8.25,,,,,,,,,
Lo Mein,捞面,Singapore Chow Main Fun,Singapore Chow Main Fun,,thin white noodles,,33,,8.25,,,,,1,,,,
Chow Mein,炒面,Vegetable Chow Mein,Vegetable Chow Mein,素菜炒面,veg. dish not a noodles dish,,34,3.75,6.35,L2,4.95,1,6.5,,,,,
Chow Mein,炒面,Pork Chow Mein,Pork Chow Mein,叉烧炒面 ,veg. dish not a noodles dish,,34a,3.95,6.55,L2,4.95,1,6.5,,,,,
Chow Mein,炒面,Chicken Chow Mein,Chicken Chow Mein,鸡炒面,veg. dish not a noodles dish,,34a,3.95,6.55,L2,4.95,1,6.5,,,,,
Chow Mein,炒面,Beef Chow Mein,Beef Chow Mein,牛炒面,veg. dish not a noodles dish,,35,4.25,7.5,L2,4.95,1,6.5,,,,,
Chow Mein,炒面,Shrimp Chow Mein,Shrimp Chow Mein,虾炒面,veg. dish not a noodles dish,,35,4.25,7.5,L2,4.95,1,6.5,,,,,
Chow Mein,炒面,House Chow Mein,House Chow Mein,本楼炒面,veg. dish not a noodles dish,,36,,8.25,,,,,,,,,
Chow Fun,米粉,Vegetable Chow Fun,Vegetable Chow Fun,菜米粉,thick flat noodles,,37,,6.5,,,,,,,,,
